school_id,center_id,name,area,phone,curriculum,grade_range,overall_rating,wellbeing_rating,inclusion_rating
5567,503416,Arcadia Global School,Al Furjan,056679058,UK (13 Y),FS 1 - YEAR 9,Good,Good,Good
5578,503690,GEMS Metropole School - Al Waha,Emirates Road,,UK (13 Y),"FS 1 - YEAR 13,",Acceptable,Acceptable,Acceptable
5576,503607,Dewvale School L.L.C,AL QOUZ THIRD,,Indian,Pre primary - GRADE 8,Acceptable,Acceptable,Acceptable
5579,503799,Dhruv Global school,Al Barsha South,,Indian,Pre primary - GRADE 8,Acceptable,Good,Acceptable
5581,503932,Glendale International School LLC,OUD METHA,045949911,UK (13 Y),FS 1 - YEAR 8,Good,Good,Good
5560,14720,Citizens School,AL SATWA,,UK (13 Y),ECC (0-1) - YEAR 9,Good,Good,Good
5562,502805,Bloom World Academy L.L.C,AL BARSHA SECOND,,International Baccalaureate,ECC (1-2) - GRADE 11,Acceptable,Acceptable,Acceptable
5563,502857,Durham School L.L.C,DUBAI INVESTMENT PARK FIRST,048170600,UK (13 Y),FS 1 - YEAR 11,Acceptable,Good,Good
5566,503338,Dubai Schools Corporation Nad AlShiba L.L.C,NADD AL SHIBA FOURTH,043294610,American,KG 1 - GRADE 8,Outstanding,Very good,Outstanding
273,115,Kings School Dubai L.L.C,UMM SUQEIM THIRD,97143483939,UK (13 Y),FS 1 - YEAR 6,Outstanding,Very good,Outstanding
262,33,GEMS Dubai American Academy - Dubai Branch,AL BARSHA SOUTH FIRST,97147049777,"American,International Baccalaureate","KG 1 - GRADE 12,GRADE 11 - GRADE 12",Outstanding,Outstanding,Outstanding
202,50,Dubai English Speaking School,OUD METHA,97143371457,UK (13 Y),FS 1 - YEAR 6,Outstanding,Very good,Outstanding
200,51,Jumeirah English Speaking School,AL SAFA FIRST,97143945515,UK (13 Y),FS 1 - YEAR 6,Outstanding,Outstanding,Outstanding
276,56,Horizons English School L.L.C,AL WASL,97143422891,UK (13 Y),FS 1 - YEAR 6,Outstanding,Outstanding,Outstanding
281,64,GEMS Jumeira Primary School - Dubai Branch,JUMEIRA THIRD,97143943500,UK (13 Y),FS 1 - YEAR 6,Outstanding,Very good,Very good
192,70,Dubai College,AL SAFOUH FIRST,97143999111,UK (13 Y),YEAR 7 - YEAR 13,Outstanding,Outstanding,Outstanding
205,71,Jumeirah College,AL SAFA FIRST,97143955524,UK (13 Y),YEAR 7 - YEAR 13,Outstanding,Very good,Outstanding
239,78,GEMS Modern Academy,NADD AL SHIBA FIRST,97143263339,"Indian,Indian/IB","GRADE 6 - GRADE 12,Pre primary - GRADE 12",Outstanding,Outstanding,Outstanding
272,122,GEMS Wellington International School - Dubai Branch,AL SAFOUH FIRST,043073000,"IB (13 Y),UK (13 Y),UK/IB (13 Y)","FS 1 - YEAR 13,YEAR 12 - YEAR 13",Outstanding,Outstanding,Outstanding
280,124,Deira International School,Dubai Festival City,97142325552,"IB (13 Y),UK (13 Y),UK/IB (13 Y)","FS 1 - YEAR 11,YEAR 12 - YEAR 13",Outstanding,Very good,Very good
285,129,Dubai International Academy L.L.C,Emirates Hills,97143684111,"IB (13 Y),International Baccalaureate","KG 1 - GRADE 13,",Outstanding,Very good,Outstanding
206,131,Jumeirah English Speaking School (Br),Arabian Ranches,97143619019,"International Baccalaureate,UK (13 Y)","FS 1 - YEAR 11,GRADE 12 - GRADE 13",Outstanding,Very good,Outstanding
213,134,Dubai British School,Emirates Hills,97143619361,UK (13 Y),FS 1 - YEAR 13,Outstanding,Very good,Very good
356,145,Repton School,NADD AL SHIBA THIRD,800 REPTON (737866),UK/IB (13 Y),"FS 1 - YEAR 13,FS 1 - YEAR 13,FS 1 - YEAR 13",Outstanding,Very good,Very good
284,341,Lycee Francais International,OUD METHA,97143368552,French,Pre primary - GRADE 12,Outstanding,Outstanding,Outstanding
255,357,Dubai English Speaking School - (College),Academic City,97143604866,UK (13 Y),YEAR 7 - YEAR 13,Outstanding,Very good,Very good
316,371,Lycee Francais International Georges Pompidou School Oud Metha,OUD METHA,043374161,French,Pre primary - KG 2,Outstanding,Outstanding,Outstanding
4443,1281,Safa Community School,AL BARSHA SOUTH FIRST,97143851810,"UK (13 Y),UK/IB (13 Y)",",FS 1 - YEAR 13",Outstanding,Outstanding,Outstanding
4429,1423,Victory Heights Primary School L.L.C,Dubai Sports City,97144231100,UK (13 Y),FS 1 - YEAR 6,Outstanding,Outstanding,Outstanding
4441,2222,Nord Anglia International School L.L.C,AL BARSHA SECOND,97142199999,"UK (13 Y),UK/IB (13 Y)","FS 1 - YEAR 11,YEAR 12 - YEAR 13",Outstanding,Very good,Outstanding
4446,2409,Kings School Al Barsha L.L.C,AL BARSHA SECOND,97143566900,UK (13 Y),FS 1 - YEAR 13,Outstanding,Very good,Outstanding
4449,14564,Dubai British School Jumeirah Park,Jumeirah Park,97145520247,UK (13 Y),ECC (2-3) - YEAR 13,Very good,Very good,Good
278,45,The English College Dubai L.L.C,UMM SUQEIM FIRST,043943465,UK (13 Y),FS 1 - YEAR 13,Very good,Very good,Outstanding
271,62,Regent International Private School L.L.C,AL BARSHA SECOND,97143608830,UK (13 Y),FS 1 - YEAR 13,Very good,Very good,Very good
270,72,The Winchester School - DUBAI BRANCH,JABAL ALI FIRST,048820444,UK (13 Y),FS 1 - YEAR 13,Very good,Very good,Very good
238,77,GEMS Our Own English High School,AL WARQA FIRST,97142361335,Indian,Pre primary - GRADE 12,Very good,Very good,Very good
324,81,The Indian High School,OUD METHA,97143358851,Indian,GRADE 5 - GRADE 12,Very good,Very good,Very good
237,89,GEMS Our Own Indian School,AL QOUZ FIRST,97143391188,Indian,KG 1 - GRADE 12,Very good,Outstanding,Very good
217,91,The Millenium School,AL QUSAIS FIRST,97142988567,Indian,Pre primary - GRADE 12,Very good,Very good,Very good
291,103,Emirates International School L.L.C.,UMM SUQEIM FIRST,043489804,"IB (13 Y),UK (13 Y),UK/IB (13 Y)",FS 1 - YEAR 13,Very good,Outstanding,Very good
243,112,Delhi Private School L.L.C,JABAL ALI FIRST,97148821848,Indian,Pre primary - GRADE 12,Very good,Good,Very good
286,116,German International School Dubai,Academic City,97144562718,German,Pre primary - GRADE 12,Very good,Outstanding,Outstanding
194,120,Safa British School,AL SAFA FIRST,97143884300,UK (13 Y),FS 1 - YEAR 13,Very good,Very good,Outstanding
312,123,GEMS Royal Dubai School - Dubai Branch,MIRDIF,97142886499,UK (13 Y),ECC (2-3) - YEAR 8,Very good,Very good,Very good
264,125,Universal American School - Branch,RAS AL KHOR,97145240444,US/IB,Pre primary - GRADE 12,Very good,Very good,Very good
186,133,EMIRATES INTERNATIONAL SCHOOL MEADOWS,Meadows,043629009,"IB (13 Y),International Baccalaureate",",FS 1 - YEAR 13",Very good,Good,Very good
309,137,Lycee Francais International Georges Pompidou School (Dubai Branch),AL ROWAIYAH FIRST,97143260026,French,GRADE 1 - GRADE 12,Very good,Very good,Very good
350,142,Greenfield International School,DUBAI INVESTMENT PARK FIRST,97148856600,International Baccalaureate,ECC (2-3) - GRADE 12,Very good,Very good,Very good
354,343,Raffles World Academy,UMM SUQEIM THIRD,97144271200,International Baccalaureate,Pre primary - GRADE 12,Very good,Very good,Very good
4288,344,Raffles International School L.L.C (Umm Suqeim South Br),UMM SUQEIM THIRD,97144271200,UK (13 Y),FS 1 - YEAR 13,Very good,Very good,Very good
4281,358,Horizon International School L.L.C,UMM AL SHEIF,97143483314,UK (13 Y),FS 1 - YEAR 13,Very good,Very good,Very good
348,369,GEMS WORLD ACADEMY,AL BARSHA FIRST,97143736373,International Baccalaureate,Pre primary - GRADE 12,Very good,Very good,Very good
4299,370,JSS International School L.L.C,Jumeirah Village Circle (South),97142406353,Indian,Pre primary - GRADE 12,Very good,Very good,Very good
4319,401,Ambassador School,MANKHOOL,97143983535,Indian,Pre primary - GRADE 12,Very good,Very good,Outstanding
4318,509,Jumeira Baccalaureate School,JUMEIRA FIRST,97143446931,International Baccalaureate,Pre primary - GRADE 12,Very good,Very good,Very good
4403,518,JSS Private School L.L.C,AL WASL,97143446419,Indian,Pre primary - GRADE 12,Very good,Very good,Outstanding
4407,667,GEMS Wellington Academy -Fze,Dubai Silicon Oasis,97145159000,"UK (13 Y),UK/IB (13 Y)",",ECC (1-2) - YEAR 13",Very good,Very good,Outstanding
4423,1014,Uptown International School (Br. of Taaleem Management LLC),MIRDIF,97142515001,International Baccalaureate,ECC (0-1) - GRADE 12,Very good,Very good,Very good
4427,1267,GEMS New Millennium School L.L.C,Al Khail,044452900,"Indian,UK (13 Y)",Pre primary - GRADE 12,Very good,Good,Good
4435,1440,Bilingual French International School L.L.C-FZ,Meydan City,97143708668,French,Pre primary - GRADE 12,Very good,Very good,Very good
4434,1441,Repton Al Barsha Fz-Llc,Al Barsha South,97148188600,UK (13 Y),FS 1 - YEAR 13,Very good,Very good,Very good
4432,1458,GEMS Wellington Academy Al Khail L.L.C,Al Khail,045129100,UK (13 Y),ECC (2-3) - YEAR 13,Very good,Very good,Very good
4437,1604,Credence High School L.L.C,AL QOUZ FIRST,97143212144,Indian,Pre primary - GRADE 12,Very good,Very good,Very good
4439,2261,GEMS First Point School L.L.C,Dubai Land,97142789700,UK (13 Y),ECC (2-3) - YEAR 13,Very good,Very good,Outstanding
4440,2410,Kings School Nad Al Sheba L.L.C,NADD AL SHIBA FIRST,97142375555,UK (13 Y),ECC (1-2) - YEAR 13,Very good,Very good,Very good
