university_id,name,area,established_year,star_rating,rating_year
737,Amity University Dubai,Academic City,2011,4,2022
764,"Murdoch University, Dubai",Academic City,2008,5,2022
770,S P Jain School of Global Management,Academic City,2012,4,2022
777,Birla Institute of Technology and Science Pilani (Bits Pilani) Dubai Campus,Academic City,2011,5,2022
778,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Academic City,2003,2,2022
781,Manipal Academy of Higher Education,Academic City,2003,5,2022
787,British University in Dubai,Academic City,2004,,
789,Institute of Management Technology - Dubai,Academic City,2006,,
791,Saint Joseph University Dubai,Academic City,2008,,
1216,ESMOD French Fashion Institute,Academic City,2007,4,2022
151899,University of Birmingham Dubai,Academic City,2018,,
152122,Curtin University,Academic City,2017,5,2022
506554,American University in the Emirates,Academic City,,,
953,Emirates Aviation University - Institute of Applied Research & Technology,AL ROWAIYAH FIRST,1991,,
780,London Business School,DIFC,2006,5,2022
500496,University Paris II Panthéon-Assas,DIFC,2019,3,2022
502936,ESCP Business School,DIFC,,,
503190,Istituto Marangoni Dubai,DIFC,2022,,
504174,Georgetown University Dubai,DIFC,2023,,
505520,SKEMA BUSINESS SCHOOL,DIFC,,,
152355,Dubai Institute of Design and Innovation,Dubai Design District,2017,,
772,Hult International Business School,Dubai Internet City,2007,5,2022
502169,De Montfort University,Dubai Internet City,2021,,
768,Heriot-Watt University,Dubai Knowledge Park,2005,5,2022
769,University of Bradford,Dubai Knowledge Park,2008,3,2022
774,Middlesex University Dubai,Dubai Knowledge Park,2004,5,2022
782,The University of Manchester Worldwide,Dubai Knowledge Park,2006,5,2022
784,SAE UNIVERSITY COLLEGE,Dubai Knowledge Park,2005,4,2022
788,University of Wollongong in Dubai,Dubai Knowledge Park,2002,,
152598,Abu Dhabi University,Dubai Knowledge Park,2017,,
500886,Strathclyde Business School UAE,Dubai Knowledge Park,,,
502545,EM Normandie Business School,Dubai Knowledge Park,2023,,
505383,Plekhanov Russian University of Economics - Dubai,Dubai Knowledge Park,2024,,
505524,Symbiosis International University,Dubai Knowledge Park,2024,,
1215,American University in Dubai,Dubai Media City,1995,,
790,Rochester Institute of Technology- Dubai,Dubai Silicon Oasis,2008,,
502970,Moscow University for Industry and Finance (Synergy),Jumeirah Lake Towers,,,
503073,University of Europe for Applied Sciences,TRADE CENTER FIRST,2011,,
504481,LUISS Libera Universita Internazionale degli Studi Sociali Guido Carli (DWTCA Branch),TRADE CENTER FIRST,2024,,
